round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.4813,1.48578916015625,2,3,56324.851427092275,17549392,24.162124633789062
2,0.5255,1.293953261756897,3,2,56357.567169462,26324088,23.19301414489746
3,0.5895,1.1553163890838622,5,0,56347.47262293064,43873480,24.242904663085938
4,0.6279,1.059547097969055,5,0,56340.70384569631,43873480,24.053541898727417
5,0.6375,1.0204922924041748,4,1,56338.51563477949,35098784,23.415324687957764
6,0.6446,0.9964110743522644,4,1,56339.32377326833,35098784,23.775482654571533
7,0.538,1.4079300887107848,2,3,56336.83371895149,17549392,23.77024555206299
8,0.6655,0.9544259326934814,3,2,56344.798947994874,26324088,22.759974718093872
9,0.6784,0.9010188140869141,3,2,56346.52974886453,26324088,23.73231554031372
10,0.7046,0.8433828721046448,5,0,56351.41739006144,43873480,23.652990102767944
11,0.6995,0.8484098006248474,4,1,56352.35576163937,35098784,23.754483938217163
12,0.702,0.8425345953941346,4,1,56348.77042335872,35098784,23.183619022369385
13,0.6782,0.9442335712432861,2,3,56346.4484290966,17549392,23.792712211608887
14,0.6947,0.863856475353241,2,3,56346.324433905276,17549392,23.700845956802368
15,0.7294,0.7790718868255615,5,0,56344.64322197184,43873480,23.481635093688965
