round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.4505,1.492027838897705,1,4,224513.50793720112,8774696,23.46265459060669
2,0.5316,1.2960711910247802,2,3,224599.9424463846,17549392,22.385981559753418
3,0.5316,1.2960711910247802,0,5,224599.9424463846,0,22.246686458587646
4,0.5848,1.167607074546814,4,1,224525.8383176187,35098784,23.28102946281433
5,0.6156,1.0853300109863282,4,1,224545.1091450346,35098784,24.564929723739624
6,0.4669,1.561314858818054,1,4,224562.38783082235,8774696,22.53115749359131
7,0.5759,1.1498672357559203,1,4,224551.09198421353,8774696,22.920881748199463
8,0.6142,1.0695258855819703,2,3,224562.6623662327,17549392,22.03049325942993
9,0.6684,0.9423612363815308,3,2,224538.78554756276,26324088,23.913957357406616
10,0.671,0.9181024005889893,2,3,224552.46823939597,17549392,23.114038467407227
11,0.5703,1.2703947631835937,1,4,224552.16407764118,8774696,22.15956473350525
12,0.5656,1.2631021066665649,1,4,224552.10683622395,8774696,22.7453351020813
13,0.6918,0.8646031427383423,3,2,224561.27879227148,26324088,22.847862005233765
14,0.6665,0.937233281993866,1,4,224555.02420020185,8774696,21.860241413116455
15,0.6964,0.8590933292388916,3,2,224576.2742327995,26324088,24.419815063476562
