round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.4298,1.5941712493896485,1,4,224513.50793720112,8774696,32.40727615356445
2,0.5348,1.3044495241165162,2,3,224599.9424463846,17549392,26.28520679473877
3,0.5348,1.3044495241165162,0,5,224599.9424463846,0,26.419233322143555
4,0.5895,1.1538257440567017,4,1,224525.8383176187,35098784,26.464415550231934
5,0.6136,1.0885013820648193,4,1,224545.1091450346,35098784,28.137439250946045
6,0.4298,1.6462567562103272,1,4,224562.38783082235,8774696,26.51468539237976
7,0.5573,1.2246667888641358,1,4,224551.09198421353,8774696,26.278658628463745
8,0.6379,1.0207279837608338,2,3,224562.6623662327,17549392,26.53680920600891
9,0.6795,0.9175202652931214,3,2,224538.78554756276,26324088,27.66842555999756
10,0.6796,0.9082861175537109,2,3,224552.46823939597,17549392,26.901784896850586
11,0.6026,1.1445139041900634,1,4,224552.16407764118,8774696,26.365697383880615
12,0.6287,1.070339144515991,1,4,224552.10683622395,8774696,25.80363702774048
13,0.6911,0.8712790578842163,3,2,224561.27879227148,26324088,25.731470346450806
14,0.6863,0.8929763732910156,1,4,224555.02420020185,8774696,26.483744144439697
15,0.7052,0.8404844348907471,3,2,224576.2742327995,26324088,27.993632793426514
