round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.8135,0.6208791234493256,5,0,31008.672152650244,23997640,18.106791734695435
2,0.8752,0.3860901011586189,4,1,31037.42308519868,19198112,21.644876718521118
3,0.9049,0.29217954142689706,4,1,31056.63464251473,19198112,17.620417594909668
4,0.9348,0.21706054657697677,4,1,31071.544901205103,19198112,20.352582931518555
5,0.9046,0.2806293478131294,3,2,31074.607559954962,14398584,19.394513607025146
6,0.9386,0.1958915228188038,5,0,31077.86069997102,23997640,19.2293643951416
7,0.9552,0.15466129380613566,3,2,31069.63640920687,14398584,17.637702703475952
8,0.9593,0.1333810618340969,4,1,31072.727246258313,19198112,23.984256267547607
9,0.9485,0.14731923818588258,4,1,31070.203588982447,19198112,23.716949701309204
10,0.9608,0.1223932406887412,4,1,31069.08775682425,19198112,21.331653594970703
11,0.9672,0.10320341736674309,4,1,31068.600026724806,19198112,19.35587167739868
12,0.9677,0.09642995992191136,4,1,31069.013385738188,19198112,23.320456743240356
13,0.9716,0.08705303676929325,4,1,31068.851573107353,19198112,20.378735542297363
14,0.976,0.07628547301199287,5,0,31069.295504246733,23997640,16.976827383041382
15,0.9769,0.07362554687839001,2,3,31064.195006066784,9599056,19.820462703704834
16,0.9756,0.07474560915846377,4,1,31065.578011644695,19198112,19.45362949371338
17,0.9768,0.0707192055140622,3,2,31068.711804212446,14398584,20.702975749969482
18,0.979,0.06650660321321339,4,1,31067.962939445468,19198112,18.360711097717285
19,0.971,0.08826630885191261,1,4,31069.036462666492,4799528,21.66983699798584
20,0.9515,0.1526454698175192,1,4,31069.811564227093,4799528,18.930384635925293
