round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.7269,0.7547844604492188,3,2,31117.95521080484,14398584,27.27074694633484
2,0.8997,0.3422538502454758,3,2,31084.03801957515,14398584,26.16822862625122
3,0.9249,0.2519706746071577,3,2,31072.36722211034,14398584,21.250677585601807
4,0.8431,0.4435142479658127,2,3,31062.133035214887,9599056,21.62068200111389
5,0.9345,0.21911753441095352,2,3,31063.487674119457,9599056,25.47440195083618
6,0.927,0.22009424258470536,4,1,31075.056721172816,19198112,26.33354878425598
7,0.9484,0.17473734632134438,2,3,31072.466341988864,9599056,25.11632776260376
8,0.9639,0.12125959538444876,4,1,31083.302009156992,19198112,24.41492486000061
9,0.9582,0.13417119125574828,2,3,31080.065636658044,9599056,22.662604570388794
10,0.9653,0.11762146343514324,3,2,31082.800395245165,14398584,20.502676963806152
11,0.9685,0.09432117959186435,3,2,31082.42431348713,14398584,27.05764365196228
12,0.9743,0.08413286050222814,4,1,31078.676604111246,19198112,23.04190945625305
13,0.9628,0.11636213664002716,3,2,31079.17469654538,14398584,21.89997410774231
14,0.9722,0.09144680098034441,3,2,31075.199573826685,14398584,22.684170961380005
15,0.977,0.07128946253145113,4,1,31074.023233122796,19198112,26.136799335479736
16,0.9765,0.0737774284420535,4,1,31072.69981559684,19198112,24.484909772872925
17,0.9786,0.0650184035371989,4,1,31074.875335994137,19198112,20.83221936225891
18,0.9812,0.056649516557483,5,0,31071.868406237343,23997640,22.41028928756714
19,0.9789,0.06699292230666615,3,2,31071.492934781625,14398584,24.015676498413086
20,0.9803,0.06055472510457039,3,2,31069.64305831412,14398584,24.69754195213318
