round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.815,0.5848219509124756,4,1,123263.08470343378,19198112,20.091246128082275
2,0.8625,0.3938547200679779,3,2,123337.88038218187,14398584,21.790491819381714
3,0.9253,0.24583715433478356,3,2,123331.16977766328,14398584,22.464436292648315
4,0.8944,0.32769116486310956,2,3,123335.48393074736,9599056,22.313562393188477
5,0.8073,0.5968288060307503,1,4,123366.04910276139,4799528,18.78083372116089
6,0.9116,0.27299299355745316,2,3,123398.2888559401,9599056,23.259267330169678
7,0.8514,0.43540267038345337,1,4,123397.75032740348,4799528,24.715585231781006
8,0.9536,0.14845616499185563,4,1,123379.38086253122,19198112,28.31120753288269
9,0.9237,0.226432375626266,2,3,123390.70468436657,9599056,23.664003133773804
10,0.8882,0.30879033373594283,1,4,123393.58307603125,4799528,20.33120322227478
11,0.9554,0.1399700405329466,1,4,123404.55958985626,4799528,24.04530644416809
12,0.9017,0.28214419971108434,1,4,123408.94066791864,4799528,21.267244815826416
13,0.9015,0.29565223756432535,1,4,123423.14870234749,4799528,19.23944115638733
14,0.9686,0.09475793826691806,3,2,123429.28374113768,14398584,23.02176260948181
15,0.9645,0.10609693857207894,2,3,123425.26716310577,9599056,21.658929347991943
16,0.9555,0.12764280672650785,2,3,123432.90353190084,9599056,20.548319101333618
17,0.9705,0.0955102443601936,2,3,123444.36145564666,9599056,22.487303018569946
18,0.9747,0.08196670557325705,2,3,123437.96735002141,9599056,17.45272469520569
19,0.9664,0.09938153885062784,2,3,123439.2432134875,9599056,18.25990390777588
20,0.9569,0.1301758182629943,1,4,123431.85307807208,4799528,24.18540072441101
