round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.7921,0.6986301664590836,1,4,123443.28750376079,4799528,31.625511169433594
2,0.8242,0.47697902958393096,2,3,123431.20069748581,9599056,23.66080665588379
3,0.8242,0.47697902958393096,0,5,123431.20069748581,0,22.49103617668152
4,0.9162,0.2693162747561932,5,0,123445.29935313121,23997640,24.805818796157837
5,0.9005,0.3119713470697403,2,3,123474.29078692717,9599056,24.357754230499268
6,0.9196,0.2462172759771347,2,3,123471.3089017452,9599056,24.680145978927612
7,0.9409,0.19596634065955879,3,2,123467.00747636463,14398584,23.68453550338745
8,0.9066,0.27399615557193757,2,3,123425.78713471834,9599056,22.171903133392334
9,0.9494,0.15714075704440475,2,3,123419.3199196689,9599056,22.84692668914795
10,0.9594,0.12203595648370683,2,3,123415.59671703078,9599056,25.91372585296631
11,0.9497,0.1503144216477871,2,3,123423.69220974867,9599056,23.562017917633057
12,0.9544,0.1400381719596684,1,4,123417.09515929484,4799528,22.00466012954712
13,0.9445,0.16218027403652668,1,4,123411.03992849807,4799528,22.93020272254944
14,0.9624,0.11959824448525906,2,3,123399.10477471864,9599056,28.78596568107605
15,0.9643,0.11037806248981506,2,3,123399.34814229308,9599056,24.95736265182495
16,0.9621,0.11224625038728119,2,3,123398.76349976062,9599056,24.261889934539795
17,0.9307,0.20592094439715147,1,4,123405.40412145443,4799528,19.618395566940308
18,0.9737,0.08090143967773765,2,3,123412.84078243512,9599056,24.72751474380493
19,0.9422,0.17644078022539617,1,4,123417.99125650265,4799528,21.245898008346558
20,0.9782,0.06734493085322901,3,2,123418.90574471864,14398584,22.86427354812622
