round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9101,0.3176581833064556,5,0,31008.672152650244,23997640,22.655498266220093
2,0.9327,0.22845550618767738,4,1,31037.42308519868,19198112,21.552549123764038
3,0.9459,0.1847534246787429,4,1,31056.63464251473,19198112,22.317333221435547
4,0.9549,0.15285834338217974,4,1,31071.544901205103,19198112,22.213340520858765
5,0.959,0.1346972200334072,3,2,31074.607559954962,14398584,21.230886697769165
6,0.9646,0.11515282707512378,5,0,31077.86069997102,23997640,21.982292890548706
7,0.9681,0.10657799383923411,3,2,31069.63640920687,14398584,20.573864936828613
8,0.973,0.08998843289501965,4,1,31072.727246258313,19198112,21.938507080078125
9,0.9736,0.08232249867059291,4,1,31070.203588982447,19198112,21.379127502441406
10,0.975,0.07707910557426512,4,1,31069.08775682425,19198112,21.593964099884033
11,0.9771,0.07174738120697438,4,1,31068.600026724806,19198112,21.94304323196411
12,0.9782,0.06477928479500115,4,1,31069.013385738188,19198112,21.358257055282593
13,0.9796,0.06000475117759779,4,1,31068.851573107353,19198112,21.866851568222046
14,0.9805,0.05680452060303651,5,0,31069.295504246733,23997640,21.184829235076904
15,0.98,0.05640084854995366,2,3,31064.195006066784,9599056,21.78406596183777
16,0.9828,0.05179360267641023,4,1,31065.578011644695,19198112,21.37743306159973
17,0.9832,0.04906182869272307,3,2,31068.711804212446,14398584,21.896642684936523
18,0.9839,0.04743609372065403,4,1,31067.962939445468,19198112,21.03517746925354
19,0.9832,0.05094826120638754,1,4,31069.036462666492,4799528,21.094001054763794
20,0.9837,0.04899703654795885,1,4,31069.811564227093,4799528,21.269556045532227
