round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9065,0.32638987843990325,4,1,31096.21872127222,19198112,26.540016651153564
2,0.9299,0.24405706370472907,3,2,31109.743552685755,14398584,23.96627378463745
3,0.9483,0.17748159482479095,4,1,31100.687135055134,19198112,24.135607481002808
4,0.9542,0.1514275681257248,5,0,31092.444546550818,23997640,23.761277675628662
5,0.9631,0.12692528278008103,3,2,31077.32033205422,14398584,23.949371576309204
6,0.9675,0.11195097178444266,3,2,31076.111671366565,14398584,23.71036982536316
7,0.9699,0.09856392806358635,4,1,31088.529377895316,19198112,24.165100812911987
8,0.9732,0.0895133395973593,4,1,31076.568866995705,19198112,23.72011923789978
9,0.9747,0.0797398171024397,3,2,31074.30222868249,14398584,23.78299307823181
10,0.977,0.07274868000373244,4,1,31066.58187251606,19198112,24.0144100189209
11,0.9786,0.06745320466188715,5,0,31070.468846299947,23997640,24.058947563171387
12,0.9794,0.06433192548500374,5,0,31068.33314112926,23997640,24.117905616760254
13,0.9812,0.05962795785414055,3,2,31068.254153220085,14398584,23.440274000167847
14,0.9816,0.057707635692786426,4,1,31062.033068192442,19198112,24.11997103691101
15,0.9811,0.056201971751451495,3,2,31063.005120762413,14398584,23.571073532104492
16,0.9824,0.05431518083061092,4,1,31062.177607043308,19198112,23.862621068954468
17,0.9829,0.05102288965713233,5,0,31060.751884909627,23997640,23.67714023590088
18,0.9841,0.0475662993468577,4,1,31061.94323863529,19198112,24.333566427230835
19,0.9842,0.04670389367113821,4,1,31061.48854887303,19198112,23.960077047348022
20,0.9849,0.045851115713396576,4,1,31060.353191763304,19198112,24.34460711479187
