round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9076,0.32050874559879305,4,1,123263.08470343378,19198112,22.408607959747314
2,0.9322,0.23441297734379768,3,2,123337.88038218187,14398584,21.235137462615967
3,0.9454,0.1899153516292572,3,2,123331.16977766328,14398584,22.110355854034424
4,0.9508,0.16668651988878846,2,3,123335.48393074736,9599056,21.539616584777832
5,0.9522,0.15603453533388675,1,4,123366.04910276139,4799528,20.162502765655518
6,0.9589,0.13901789207346738,2,3,123398.2888559401,9599056,19.714249849319458
7,0.9539,0.15040493619740009,1,4,123397.75032740348,4799528,22.13225793838501
8,0.969,0.10463232263047248,4,1,123379.38086253122,19198112,21.026760578155518
9,0.9683,0.10084544364362955,2,3,123390.70468436657,9599056,21.820037126541138
10,0.9709,0.09512288895621895,1,4,123393.58307603125,4799528,20.127917051315308
11,0.9725,0.08760788253583014,1,4,123404.55958985626,4799528,20.20939803123474
12,0.9728,0.0844474404456094,1,4,123408.94066791864,4799528,19.617239475250244
13,0.9746,0.08000057292142883,1,4,123423.14870234749,4799528,20.635538578033447
14,0.9788,0.06803936604838819,3,2,123429.28374113768,14398584,19.37820601463318
15,0.9793,0.06522032747999765,2,3,123425.26716310577,9599056,20.325317859649658
16,0.9797,0.062454721151059496,2,3,123432.90353190084,9599056,19.648189067840576
17,0.9808,0.05921361238299869,2,3,123444.36145564666,9599056,20.665215015411377
18,0.9815,0.05726049704845063,2,3,123437.96735002141,9599056,19.663350582122803
19,0.9823,0.05609775984308217,2,3,123439.2432134875,9599056,20.660176753997803
20,0.9805,0.06221632499722764,1,4,123431.85307807208,4799528,19.882139682769775
