round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9124,0.30773326140642165,4,1,123263.08470343378,19198112,27.823259115219116
2,0.9318,0.22386981556415558,3,2,123337.88038218187,14398584,24.226998567581177
3,0.9455,0.18533826726078986,3,2,123331.16977766328,14398584,24.210680723190308
4,0.953,0.15608973170220852,2,3,123335.48393074736,9599056,23.883105278015137
5,0.9583,0.14006548199877142,1,4,123366.04910276139,4799528,23.18697190284729
6,0.9648,0.11787971513494849,2,3,123398.2888559401,9599056,23.32239031791687
7,0.9635,0.11362931522615254,1,4,123397.75032740348,4799528,23.948164463043213
8,0.9725,0.08940505869928747,4,1,123379.38086253122,19198112,24.20558500289917
9,0.9747,0.08214307252224534,2,3,123390.70468436657,9599056,24.86035394668579
10,0.9741,0.08280968034798279,1,4,123393.58307603125,4799528,23.498945713043213
11,0.9769,0.07444047070425004,1,4,123404.55958985626,4799528,22.838783264160156
12,0.9779,0.06862694156123325,1,4,123408.94066791864,4799528,22.962987899780273
13,0.9768,0.06959264894020743,1,4,123423.14870234749,4799528,23.13167095184326
14,0.9817,0.05741933728940785,3,2,123429.28374113768,14398584,23.191099643707275
15,0.9816,0.05670172179860528,2,3,123425.26716310577,9599056,22.473405361175537
16,0.9812,0.05419986616186798,2,3,123432.90353190084,9599056,23.029868602752686
17,0.9829,0.051398456084448846,2,3,123444.36145564666,9599056,23.251121282577515
18,0.9831,0.05177872437397018,2,3,123437.96735002141,9599056,22.456374645233154
19,0.983,0.052480888571881226,2,3,123439.2432134875,9599056,23.353676319122314
20,0.9829,0.0520450861739926,1,4,123431.85307807208,4799528,23.2104434967041
