round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9039,0.3378354212641716,5,0,4434.523096277603,23997640,20.380522966384888
2,0.9313,0.23737406221926213,4,1,4441.423320089228,19198112,20.748117685317993
3,0.9417,0.2001757597744465,5,0,4445.06827268567,23997640,20.06683349609375
4,0.9475,0.17107141425162553,5,0,4448.59923180131,23997640,20.955389499664307
5,0.9536,0.15389619439393282,4,1,4447.223336926852,19198112,19.875762462615967
6,0.9599,0.13349912950694562,5,0,4445.395062892034,23997640,20.491735696792603
7,0.9642,0.11956500055491924,4,1,4445.883804409419,19198112,20.085606575012207
8,0.9677,0.10618566282168031,5,0,4444.858348737479,23997640,20.709729433059692
9,0.97,0.09525515340566636,5,0,4444.274837658443,23997640,21.90698003768921
10,0.973,0.08636576667055487,5,0,4444.329771977939,23997640,21.07008957862854
11,0.975,0.07897236368488521,4,1,4444.042134968364,19198112,21.51593041419983
12,0.9766,0.07344880395587533,4,1,4444.759888537933,19198112,21.707852840423584
13,0.9777,0.0698207198087126,3,2,4444.884655956287,14398584,20.78984308242798
14,0.9785,0.06597642196035013,3,2,4445.199800954744,14398584,20.962156057357788
15,0.9802,0.060866074744053186,5,0,4445.635494165075,23997640,20.89778971672058
16,0.9816,0.058119365139491855,4,1,4444.918329272012,19198112,21.203051805496216
17,0.9837,0.05420319122336805,5,0,4445.256286323072,23997640,20.837725162506104
18,0.9833,0.05196143274367787,4,1,4445.168800637862,19198112,21.42147946357727
19,0.9833,0.05122666170527227,5,0,4445.125292856977,23997640,20.523898601531982
20,0.9849,0.04756840720723849,5,0,4445.406939948004,23997640,21.25723099708557
