round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9112,0.3176752787232399,5,0,31042.326436693336,23997640,21.208131074905396
2,0.9342,0.22474319975376128,5,0,31063.683710761816,23997640,19.79119873046875
3,0.9456,0.18302331135869027,4,1,31033.451326454717,19198112,18.755156993865967
4,0.9532,0.15583014926761388,4,1,31035.008036996278,19198112,19.781498193740845
5,0.9608,0.13249361693412065,3,2,31032.03233230402,14398584,19.186384677886963
6,0.966,0.11525578157044947,4,1,31022.680495617435,19198112,19.86868143081665
7,0.9677,0.10463852602243423,2,3,31031.32961740825,9599056,18.918940544128418
8,0.9714,0.09034862460047006,4,1,31036.48877527421,19198112,19.741164922714233
9,0.9742,0.08203226122334599,4,1,31035.781517394447,19198112,19.888322830200195
10,0.9765,0.07311809722790495,5,0,31038.143869252213,23997640,19.222663402557373
11,0.9788,0.0693119780248031,4,1,31039.11316620884,19198112,19.78771209716797
12,0.9794,0.06395528073702007,4,1,31042.494004259574,19198112,19.219401836395264
13,0.9802,0.058448284035595134,3,2,31042.025682449756,14398584,19.700674533843994
14,0.9822,0.05839131493950263,2,3,31044.018120336415,9599056,18.66380763053894
15,0.9811,0.05491187218856067,3,2,31045.123104333685,14398584,19.809543132781982
16,0.9826,0.05225986401862465,2,3,31047.246198797096,9599056,20.077027797698975
17,0.9842,0.049025005114008674,3,2,31052.027268616705,14398584,19.381662845611572
18,0.9839,0.04732617428174708,3,2,31051.098169216693,14398584,19.599990367889404
19,0.9846,0.045858571417606436,3,2,31050.293081044605,14398584,18.746436595916748
20,0.9849,0.044304052999755365,3,2,31052.9373715471,14398584,19.972342014312744
