round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9119,0.31728144515752793,5,0,31008.672152650244,23997640,26.47066593170166
2,0.9327,0.22832227967083454,4,1,31037.42308519868,19198112,23.40983486175537
3,0.9447,0.18131045025289058,4,1,31056.63464251473,19198112,22.869484663009644
4,0.9561,0.1503943854883313,4,1,31071.544901205103,19198112,23.225103855133057
5,0.9589,0.13503066104874015,3,2,31074.607559954962,14398584,22.87722659111023
6,0.9676,0.10848568248860538,5,0,31077.86069997102,23997640,23.160513639450073
7,0.9699,0.0989551504265517,3,2,31069.63640920687,14398584,22.374032974243164
8,0.9745,0.08417625296134501,4,1,31072.727246258313,19198112,22.97807002067566
9,0.9758,0.07656570067424327,4,1,31070.203588982447,19198112,23.136719465255737
10,0.9771,0.07166024547470734,4,1,31069.08775682425,19198112,22.353283166885376
11,0.9792,0.06420255101192743,4,1,31068.600026724806,19198112,23.147930145263672
12,0.9798,0.06084203588198871,4,1,31069.013385738188,19198112,23.014261722564697
13,0.9809,0.05984345695208758,4,1,31068.851573107353,19198112,22.93684458732605
14,0.9824,0.05484682492907159,5,0,31069.295504246733,23997640,22.775498390197754
15,0.9832,0.05448675162866712,2,3,31064.195006066784,9599056,22.1931209564209
16,0.9834,0.050413474768144076,4,1,31065.578011644695,19198112,22.83081316947937
17,0.9835,0.04790689340692479,3,2,31068.711804212446,14398584,22.738601446151733
18,0.9853,0.045615356504381636,4,1,31067.962939445468,19198112,22.471058130264282
19,0.9836,0.052050131676439196,1,4,31069.036462666492,4799528,22.53249192237854
20,0.9838,0.049117561319610106,1,4,31069.811564227093,4799528,21.88446831703186
