round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9123,0.3163930657565594,4,1,123395.48752191798,19198112,21.670778512954712
2,0.9334,0.22666419219374656,3,2,123433.13747854387,14398584,20.838775396347046
3,0.9419,0.1963791601791978,2,3,123486.76321873155,9599056,21.399735689163208
4,0.9532,0.15628544214367868,3,2,123471.211889169,14398584,21.397390842437744
5,0.9486,0.1576579352349043,1,4,123468.53484850004,4799528,20.083658456802368
6,0.9567,0.13309807338528334,1,4,123453.4159559481,4799528,21.29836368560791
7,0.9678,0.10476967667341232,2,3,123432.72756311552,9599056,19.543827533721924
8,0.9723,0.08869335893653334,4,1,123415.17935314073,19198112,21.806910753250122
9,0.9729,0.08790923508703709,2,3,123434.2796086542,9599056,21.502821445465088
10,0.9764,0.07657098554447293,2,3,123427.51665339101,9599056,20.525066614151
11,0.9752,0.07256906158560887,1,4,123431.24532203052,4799528,20.8294837474823
12,0.9791,0.06390665365429594,4,1,123445.9010825135,19198112,21.344351530075073
13,0.9791,0.06390665365429594,0,5,123445.9010825135,0,19.62915349006653
14,0.979,0.06586005509728565,1,4,123448.03894019836,4799528,20.269322633743286
15,0.979,0.06586005509728565,0,5,123448.03894019836,0,20.783551692962646
16,0.9805,0.05824918421474285,2,3,123447.79057584249,9599056,20.546911001205444
17,0.982,0.05643513282844797,3,2,123443.06878726945,14398584,22.42862105369568
18,0.9817,0.055032870367495344,2,3,123447.79484860733,9599056,21.448832988739014
19,0.9813,0.051440485503617676,1,4,123444.25681440017,4799528,23.384289026260376
20,0.9826,0.049973308058874684,2,3,123440.69067385416,9599056,22.47537136077881
