round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.8787,0.4111455727338791,1,4,123658.45404784838,4799528,26.03922939300537
2,0.927,0.2590276261329651,2,3,123568.79952268752,9599056,23.48477554321289
3,0.9325,0.21251914748996495,1,4,123539.11084396028,4799528,24.956291675567627
4,0.9529,0.15845268427729606,3,2,123471.0855301324,14398584,23.60141086578369
5,0.9578,0.14393766421824694,1,4,123504.88274560802,4799528,24.039483785629272
6,0.9644,0.11807392737343908,2,3,123487.48002627217,9599056,23.73231530189514
7,0.9678,0.10383643858134746,3,2,123464.50819345914,14398584,24.969472408294678
8,0.9681,0.09945585745200515,2,3,123476.08433047905,9599056,24.71721124649048
9,0.9721,0.08630170513940975,1,4,123461.05380229097,4799528,23.62413787841797
10,0.972,0.08548071463089436,1,4,123458.60102979743,4799528,23.760783195495605
11,0.972,0.08789809126071632,1,4,123463.2896606085,4799528,22.829917192459106
12,0.9712,0.08462028712984175,1,4,123475.4281008514,4799528,23.636268377304077
13,0.9783,0.0659303798560053,2,3,123473.4844365945,9599056,23.509689331054688
14,0.98,0.061353464541351425,2,3,123474.36866848588,9599056,22.449752807617188
15,0.9802,0.057046020979015157,4,1,123480.1415631587,19198112,24.906450033187866
16,0.9803,0.05770663690725342,2,3,123477.77206169441,9599056,23.335877895355225
17,0.9812,0.05367610696640331,2,3,123461.87259003345,9599056,22.88884139060974
18,0.9821,0.0525575840995647,2,3,123444.88154796074,9599056,22.743722677230835
19,0.9835,0.04794476774376817,1,4,123447.2795331457,4799528,23.10932421684265
20,0.9832,0.04974189360239543,1,4,123454.42892672164,4799528,22.199738264083862
