round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9111,0.31770768163204194,5,0,4457.493154879881,23997640,21.80561900138855
2,0.9309,0.23524217107594014,4,1,4454.2581934312575,19198112,20.360400438308716
3,0.9415,0.19866806752085686,5,0,4453.668490195604,23997640,21.49617075920105
4,0.9505,0.17234293839633466,4,1,4451.704053759692,19198112,20.382896423339844
5,0.9559,0.14817766038551927,4,1,4451.2776810045325,19198112,21.22696566581726
6,0.9602,0.13152341893687844,5,0,4449.413178864004,23997640,20.361576795578003
7,0.9658,0.11839972334988415,5,0,4447.629414146593,23997640,21.30001711845398
8,0.9667,0.11099337283931672,4,1,4450.610966769687,19198112,20.157535552978516
9,0.9713,0.09465003316104412,5,0,4450.5726994270435,23997640,21.162578582763672
10,0.9732,0.08801217865440994,5,0,4449.301048087378,23997640,20.413391828536987
11,0.9755,0.079237795843184,5,0,4449.10469110844,23997640,21.273727416992188
12,0.9772,0.07510002660276369,5,0,4448.597407011613,23997640,20.470460176467896
13,0.9776,0.06910434296075255,5,0,4449.591474919487,23997640,21.251766443252563
14,0.9793,0.06491924489969388,5,0,4448.673469042257,23997640,20.241486072540283
15,0.9798,0.0620208169862628,5,0,4449.429043982766,23997640,21.29698944091797
16,0.9803,0.05876447228766046,5,0,4448.825793527436,23997640,20.50759482383728
17,0.9815,0.055938404710358006,5,0,4448.51202763135,23997640,21.30111265182495
18,0.9826,0.05411884656832554,5,0,4448.144584988431,23997640,20.28832197189331
19,0.9834,0.05242878849224653,5,0,4446.78987101747,23997640,21.26453423500061
20,0.9844,0.05032524670220446,5,0,4446.325239827948,23997640,20.648019552230835
