round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.6913,1.2604337396621703,1,4,123419.75793720112,4799528,38.60039186477661
2,0.8832,0.3676620730757713,2,3,123506.19244638462,9599056,48.04735469818115
3,0.8832,0.3676620730757713,0,5,123506.19244638462,0,38.46746611595154
4,0.8546,0.37134216785430907,4,1,123432.0883176187,19198112,41.4258668422699
5,0.9368,0.20897224335074424,4,1,123451.35914503463,19198112,38.94353485107422
6,0.8521,0.437499500644207,1,4,123468.63783082234,4799528,41.70614504814148
7,0.8687,0.37482704311609266,1,4,123457.34198421355,4799528,44.70202589035034
8,0.9426,0.17996123593226074,2,3,123468.91236623267,9599056,39.226123094558716
9,0.9612,0.12476115676686168,3,2,123445.03554756274,14398584,39.11943769454956
10,0.9634,0.11649474340751767,2,3,123458.71823939597,9599056,36.84366202354431
11,0.9381,0.18923214521557094,1,4,123458.41407764118,4799528,37.658182859420776
12,0.9575,0.1284618382833898,1,4,123458.35683622393,4799528,31.886903762817383
13,0.9707,0.0952531881755218,3,2,123467.52879227143,14398584,46.71407723426819
14,0.931,0.2061549033552408,1,4,123461.27420020182,4799528,44.09849786758423
15,0.9685,0.09948783051893115,3,2,123482.5242327995,14398584,35.98638319969177
16,0.9692,0.09442485687183216,1,4,123484.23875115774,4799528,43.30322194099426
17,0.9221,0.2316057575672865,1,4,123492.79005192907,4799528,49.21276497840881
18,0.97,0.09467674813643098,2,3,123498.37759509831,9599056,34.742841720581055
19,0.9788,0.06751842477722093,2,3,123497.89113015623,9599056,46.999807834625244
20,0.9694,0.09558999784961343,1,4,123497.06305891684,4799528,49.31481385231018
