round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.7181,1.1429323667526246,1,4,123419.75793720112,4799528,40.86921405792236
2,0.8536,0.46224446427822113,2,3,123506.19244638462,9599056,51.44731283187866
3,0.8536,0.46224446427822113,0,5,123506.19244638462,0,41.445598125457764
4,0.8372,0.4210609847545624,4,1,123432.0883176187,19198112,40.19203805923462
5,0.9364,0.21605631941854953,4,1,123451.35914503463,19198112,37.96561598777771
6,0.8545,0.4166987320542336,1,4,123468.63783082234,4799528,42.44340801239014
7,0.844,0.4455234259605408,1,4,123457.34198421355,4799528,47.880696058273315
8,0.937,0.19640725320875646,2,3,123468.91236623267,9599056,39.32132291793823
9,0.9574,0.14306049707233906,3,2,123445.03554756274,14398584,39.64932179450989
10,0.9594,0.13258123676031827,2,3,123458.71823939597,9599056,38.989941120147705
11,0.9372,0.18891501666232943,1,4,123458.41407764118,4799528,39.8464789390564
12,0.9545,0.13570219398736955,1,4,123458.35683622393,4799528,33.61423397064209
13,0.968,0.10654745336771011,3,2,123467.52879227143,14398584,47.257901191711426
14,0.9045,0.27673876814842224,1,4,123461.27420020182,4799528,46.43396615982056
15,0.9616,0.11801682313419878,3,2,123482.5242327995,14398584,39.015270709991455
16,0.9597,0.12277344393879175,1,4,123484.23875115774,4799528,46.62653183937073
17,0.9117,0.2647405269578099,1,4,123492.79005192907,4799528,60.7492299079895
18,0.9704,0.09740058986507356,2,3,123498.37759509831,9599056,41.13046312332153
19,0.975,0.07906919165123254,2,3,123497.89113015623,9599056,55.96310591697693
20,0.9672,0.09999965360164642,1,4,123497.06305891684,4799528,57.066041707992554
