round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9115,0.31044469007849695,2,3,31051.41392709227,9599056,41.85391283035278
2,0.935,0.22598917658925055,3,2,31084.129669462003,14398584,41.74353384971619
3,0.9476,0.18407286287248134,5,0,31074.035122930643,23997640,40.435412883758545
4,0.9554,0.15968109688609838,5,0,31067.266345696313,23997640,40.90020489692688
5,0.9599,0.1393416509076953,4,1,31065.078134779487,19198112,41.73797011375427
6,0.9645,0.12315556358397008,4,1,31065.886273268323,19198112,42.71854829788208
7,0.9657,0.11240449392907322,2,3,31063.396218951493,9599056,40.609246015548706
8,0.9704,0.09694459435939788,3,2,31071.361447994866,14398584,39.796767234802246
9,0.9705,0.09181121061127633,3,2,31073.092248864526,14398584,40.26706504821777
10,0.9755,0.07948139071930199,5,0,31077.97989006144,23997640,40.325052976608276
11,0.9783,0.0733054730238393,4,1,31078.918261639366,19198112,40.317185163497925
12,0.9789,0.06935883210683241,4,1,31075.332923358714,19198112,40.43426704406738
13,0.9771,0.0718926389021799,2,3,31073.010929096592,9599056,39.75159502029419
14,0.98,0.06338953761328012,2,3,31072.886933905265,9599056,40.291011810302734
15,0.9819,0.05853578589539975,5,0,31071.20572197184,23997640,40.611419677734375
16,0.9825,0.05631544513097033,5,0,31069.629877867083,23997640,40.870802879333496
17,0.9836,0.054125889342091976,3,2,31070.089990428285,14398584,42.21382999420166
18,0.9835,0.05051114044156857,4,1,31071.54321017703,19198112,43.27041411399841
19,0.9843,0.05007654215954244,3,2,31074.406484546187,14398584,42.8566210269928
20,0.9852,0.04784092702814378,3,2,31073.759328534583,14398584,41.37269115447998
