round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.6321,1.592920675945282,2,3,31051.41392709227,9599056,40.63034701347351
2,0.8641,0.37935223336219787,3,2,31084.129669462003,14398584,51.88061785697937
3,0.9279,0.2381989912211895,5,0,31074.035122930643,23997640,34.94003891944885
4,0.9322,0.23242232866883278,5,0,31067.266345696313,23997640,46.01459312438965
5,0.9482,0.179945380730927,4,1,31065.078134779487,19198112,54.094197034835815
6,0.9563,0.1503076694354415,4,1,31065.886273268323,19198112,52.98265814781189
7,0.9281,0.22108151420354843,2,3,31063.396218951493,9599056,48.59568905830383
8,0.9569,0.14017874745652079,3,2,31071.361447994866,14398584,40.03849768638611
9,0.9551,0.14032786134257913,3,2,31073.092248864526,14398584,37.94506311416626
10,0.9629,0.12632023175954818,5,0,31077.97989006144,23997640,42.95983004570007
11,0.9617,0.11658717887327075,4,1,31078.918261639366,19198112,39.01498293876648
12,0.9601,0.12944524677991867,4,1,31075.332923358714,19198112,42.71291708946228
13,0.8863,0.31972838898301126,2,3,31073.010929096592,9599056,39.08371186256409
14,0.9129,0.24706728972643613,2,3,31072.886933905265,9599056,49.507936000823975
15,0.9665,0.10652977444417774,5,0,31071.20572197184,23997640,37.398014068603516
16,0.9747,0.08013327475450933,5,0,31069.629877867083,23997640,32.82936191558838
17,0.9666,0.09905127678718417,3,2,31070.089990428285,14398584,36.25331711769104
18,0.9743,0.08016575840804725,4,1,31071.54321017703,19198112,39.99695801734924
19,0.9787,0.0661063173763454,3,2,31074.406484546187,14398584,36.7895290851593
20,0.979,0.06693380982102826,3,2,31073.759328534583,14398584,34.847386837005615
