round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9116,0.306972042453289,2,3,31051.41392709227,9599056,43.16834592819214
2,0.934,0.22398108015358448,3,2,31084.129669462003,14398584,44.20578908920288
3,0.9503,0.1704916936263442,5,0,31074.035122930643,23997640,45.1340069770813
4,0.9608,0.13666217550113796,5,0,31067.266345696313,23997640,43.77772808074951
5,0.9649,0.11589775541685522,4,1,31065.078134779487,19198112,42.948500871658325
6,0.9695,0.09940330121107399,4,1,31065.886273268323,19198112,44.28131103515625
7,0.9711,0.08980335865635425,2,3,31063.396218951493,9599056,46.03834009170532
8,0.975,0.07843857162520289,3,2,31071.361447994866,14398584,46.66147589683533
9,0.9764,0.0727222761746496,3,2,31073.092248864526,14398584,45.95695686340332
10,0.9786,0.06475776716182008,5,0,31077.97989006144,23997640,47.46827793121338
11,0.9807,0.06026522088078782,4,1,31078.918261639366,19198112,48.081084966659546
12,0.981,0.05964070823774673,4,1,31075.332923358714,19198112,44.51214408874512
13,0.981,0.05828583689969964,2,3,31073.010929096592,9599056,44.36212205886841
14,0.9824,0.05553664978761226,2,3,31072.886933905265,9599056,47.3260018825531
15,0.9837,0.049561178883281536,5,0,31071.20572197184,23997640,45.45801496505737
16,0.9849,0.048743654962140136,5,0,31069.629877867083,23997640,44.53755712509155
17,0.9846,0.04651468127835542,3,2,31070.089990428285,14398584,45.92430520057678
18,0.9853,0.04515901300399564,4,1,31071.54321017703,19198112,47.318434715270996
19,0.9856,0.04421815848401748,3,2,31074.406484546187,14398584,47.107951164245605
20,0.9851,0.04337621828353731,3,2,31073.759328534583,14398584,45.66911315917969
