round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.6576,1.4167060367584228,2,3,31051.41392709227,9599056,44.335333824157715
2,0.8988,0.3349944412946701,3,2,31084.129669462003,14398584,61.50251913070679
3,0.9394,0.20903921165466308,5,0,31074.035122930643,23997640,35.87032079696655
4,0.9445,0.1872971665084362,5,0,31067.266345696313,23997640,47.62136793136597
5,0.9539,0.15316687271296978,4,1,31065.078134779487,19198112,55.93511772155762
6,0.9631,0.12758354909494518,4,1,31065.886273268323,19198112,55.970991134643555
7,0.9344,0.20603189030438662,2,3,31063.396218951493,9599056,48.66952395439148
8,0.9628,0.11804486768990755,3,2,31071.361447994866,14398584,44.239099979400635
9,0.9639,0.11707250642776489,3,2,31073.092248864526,14398584,41.91028308868408
10,0.9677,0.10307124657779931,5,0,31077.97989006144,23997640,46.905149936676025
11,0.9651,0.10081189710795879,4,1,31078.918261639366,19198112,40.55384302139282
12,0.9664,0.10710292123667896,4,1,31075.332923358714,19198112,44.13273286819458
13,0.9271,0.2227193454608321,2,3,31073.010929096592,9599056,41.55834603309631
14,0.9179,0.2369048454746604,2,3,31072.886933905265,9599056,52.850106954574585
15,0.9723,0.09162252677232027,5,0,31071.20572197184,23997640,41.55088496208191
16,0.9797,0.06350636548148468,5,0,31069.629877867083,23997640,35.698201179504395
17,0.973,0.08070486891306937,3,2,31070.089990428285,14398584,37.98172998428345
18,0.9804,0.06220624578013085,4,1,31071.54321017703,19198112,42.45746994018555
19,0.9817,0.057733487088419494,3,2,31074.406484546187,14398584,37.82072591781616
20,0.9821,0.05956757270852104,3,2,31073.759328534583,14398584,35.846452951431274
