round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.8849,0.36245503371953963,1,4,123419.75793720112,4799528,43.511955976486206
2,0.9282,0.24032945109605788,2,3,123506.19244638462,9599056,41.50276803970337
3,0.9282,0.24032945109605788,0,5,123506.19244638462,0,40.59192419052124
4,0.9458,0.17836764928549528,4,1,123432.0883176187,19198112,43.61050510406494
5,0.9552,0.14784841492399572,4,1,123451.35914503463,19198112,43.187609910964966
6,0.9588,0.136068514983356,1,4,123468.63783082234,4799528,41.79730010032654
7,0.9643,0.11584068358093501,1,4,123457.34198421355,4799528,40.150081157684326
8,0.9686,0.09866818249672651,2,3,123468.91236623267,9599056,43.24675703048706
9,0.9728,0.0862878604028374,3,2,123445.03554756274,14398584,43.428683042526245
10,0.9764,0.07800496707614511,2,3,123458.71823939597,9599056,42.32212591171265
11,0.9769,0.0754158335194923,1,4,123458.41407764118,4799528,48.78080916404724
12,0.9758,0.07027581044612452,1,4,123458.35683622393,4799528,44.588046073913574
13,0.9808,0.05931226782319136,3,2,123467.52879227143,14398584,50.69140124320984
14,0.9796,0.061126074881432575,1,4,123461.27420020182,4799528,54.724284172058105
15,0.9821,0.05422052876516245,3,2,123482.5242327995,14398584,46.82736086845398
16,0.9821,0.05405724498361815,1,4,123484.23875115774,4799528,41.58858585357666
17,0.9829,0.05249988910532556,1,4,123492.79005192907,4799528,46.92705512046814
18,0.9848,0.0483911580783315,2,3,123498.37759509831,9599056,42.34079694747925
19,0.985,0.04632805603442248,2,3,123497.89113015623,9599056,40.25053596496582
20,0.9825,0.053274976826785135,1,4,123497.06305891684,4799528,40.14926099777222
