round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9064,0.3240414553403854,1,4,123419.75793720112,4799528,47.32411289215088
2,0.9349,0.22359052381515504,2,3,123506.19244638462,9599056,46.22866725921631
3,0.9349,0.22359052381515504,0,5,123506.19244638462,0,44.91584897041321
4,0.9474,0.17799515995532275,4,1,123432.0883176187,19198112,47.3359808921814
5,0.9544,0.1464941354982555,4,1,123451.35914503463,19198112,45.49968481063843
6,0.9594,0.13660249434262514,1,4,123468.63783082234,4799528,43.087427854537964
7,0.9664,0.11314684078991413,1,4,123457.34198421355,4799528,43.04417896270752
8,0.9701,0.09677116799931973,2,3,123468.91236623267,9599056,42.045413970947266
9,0.974,0.08533905241079628,3,2,123445.03554756274,14398584,45.12898302078247
10,0.9765,0.07411494754198938,2,3,123458.71823939597,9599056,43.201712131500244
11,0.9758,0.07423489659950137,1,4,123458.41407764118,4799528,41.27993106842041
12,0.9773,0.06910603793961927,1,4,123458.35683622393,4799528,41.278016090393066
13,0.9792,0.06229917958434671,3,2,123467.52879227143,14398584,44.39255881309509
14,0.9784,0.06457206835369579,1,4,123461.27420020182,4799528,43.269500970840454
15,0.9817,0.05445236921925098,3,2,123482.5242327995,14398584,43.30494999885559
16,0.9815,0.05660835351720452,1,4,123484.23875115774,4799528,43.19871401786804
17,0.982,0.05447311266115867,1,4,123492.79005192907,4799528,44.236584424972534
18,0.9824,0.050877869359590114,2,3,123498.37759509831,9599056,45.37125873565674
19,0.9835,0.0480067060242407,2,3,123497.89113015623,9599056,43.45982789993286
20,0.9848,0.049187927052099255,1,4,123497.06305891684,4799528,45.602222204208374
