round_num,global_accuracy,global_loss,participating_clients,dropped_updates,avg_latency_ms,total_bytes_transmitted,round_duration_seconds
1,0.9119,0.3199104357600212,5,0,4435.416355877705,23997640,41.04060697555542
2,0.9356,0.22697076367139815,5,0,4445.789628429016,23997640,40.1265652179718
3,0.9462,0.1886132866203785,5,0,4448.649880526643,23997640,40.14553928375244
4,0.9544,0.15711583974584936,5,0,4450.0043006326505,23997640,40.96325206756592
5,0.9618,0.1377696292106062,5,0,4447.073688407555,23997640,40.4713659286499
6,0.9642,0.11743083189241588,4,1,4447.384001198578,19198112,40.36687207221985
7,0.968,0.10568263254836202,5,0,4448.273919421357,23997640,40.34993100166321
8,0.9721,0.09238821968454868,5,0,4445.719047999212,23997640,40.95941400527954
9,0.9737,0.08383559482377023,5,0,4446.919052821817,23997640,40.2910270690918
10,0.9757,0.07682104029171169,5,0,4447.86329073751,23997640,42.078547954559326
11,0.9773,0.07073587464829907,5,0,4449.25224840577,23997640,41.4231219291687
12,0.9787,0.06697748627932743,5,0,4449.657110732796,23997640,41.33452272415161
13,0.9804,0.0630722243975848,5,0,4449.664232905373,23997640,40.860066175460815
14,0.9817,0.05761410543085076,4,1,4448.991270363636,19198112,40.151171922683716
15,0.9822,0.05637538076322526,4,1,4448.067212133674,19198112,41.47289991378784
16,0.982,0.05375396421011537,5,0,4448.0869503572385,23997640,45.42473387718201
17,0.9827,0.051192055505840106,5,0,4448.472915673596,23997640,44.081122159957886
18,0.9847,0.05003295154524967,5,0,4448.500838660689,23997640,41.193516969680786
19,0.9842,0.04734274262544932,5,0,4448.828421383133,23997640,41.72900104522705
20,0.9858,0.04480946768787689,5,0,4448.819625081911,23997640,40.25251579284668
